,A5,AWS,Ag,Al,Applications,B,Be,C,Category,Co,Cr,Cu,DIN,DIN_W,Fe,HT_Temp,HT_Time,Hardness,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,Mn,Mo,N,Name,Nb,Nb+Ta,Ni,Ni+Co,Other,Others,P,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,S,Si,Sn,Suitable_For,Ti,V,W,Zn,Zr,url
10,8.0,A 5.9:,,,Joining and cladding high heat resistant CrNi-steels of the same kind and Cast steels in a low sulphourus invironment.,,,0.45,GMAW-GTAW Solid wires,,26.0,,,1.4853,34.40000000000001,0.0,,,0,AW,,,,14343-A: G(Z) 25 35 Zr,,1.7,,,25-35Nb,1.35,,35.0,,,,,"Recommended for operating temperatures up to 1150° C in carburized losulphur combustion gas, e. g. reforming ovens in petrochemical plants.",0,,690.0,460.0,,1.1,,"1.4852, 1.4853, G-X 40 NiCrNb 35 25, 1.4857, G-X 40 NiCrSi 35 25, 1.4837, G-X40CrNiSi25-12, 1.4848, G-X40CrNiSi25--20, 1.4849, G-X40NiCr38-18, G-X40NiCrNb35-25, cast steels, HK40, HK45, UNS: J93503, J94204, N08705",,,,,,http://www.ceweld.nl/en/product/25-35nb
11,8.0,A 5.9:,,,Joining and cladding high heat resistant CrNi-steels of the same kind and Cast steels in a low sulphourus invironment.,,,0.4,GMAW-GTAW Solid wires,,26.0,,,1.4853,35.25999999999999,0.0,,,0,AW,,,,14343-A: WZ 25 35 Zr,,1.0,,,25-35Nb Tig,1.35,,35.0,,,,,,0,,690.0,460.0,,0.9,,"1.4852, 1.4853,  G-X 40 NiCrNb 35 25, 1.4857, G-X 40 NiCrSi 35 25, 1.4837, G-X40CrNiSi25-12, 1.4848, G-X40CrNiSi25--20, 1.4849, G-X40NiCr38-18, G-X40NiCrNb35-25, cast steels, HK40, HK45, UNS: J93503, J94204, N08705",0.09,,,,,http://www.ceweld.nl/en/product/25-35nb-tig
12,27.0,A 5.9: ER 25 9 4,,,"Welding austenitic-ferritic, stainless alloys of the 25% Cr, 7% Ni, 4% Mo, low C types. Welding wrought, forged or cast super duplex stainless steels for service in the as-welded Condition. Heterogeneous welding between super duplex stainless steels and dissimilar welds between other stainless and mild or low alloyed steels. The alloy is widely used in applications in which corrosion resistance is of the utmost importance. The pulp & paper industry, offshore and gas industry are areas of interest.
",,,0.025,GMAW-GTAW Solid wires,,25.0,,8556: SG X2CrNiMo 25 9 4,1.4409999999999998,,0.0,,,0,AW,65.0,55.0,,14343-A: G 25 9 4 N L,,1.2,3.7,0.2,2594 (Super Duplex),,,9.0,,,,,"2594 has high intergranulacorrosion, pitting and strescorrosion resistance with exceptinal mechanical strenght properties.",0,,900.0,700.0,,0.6,,"UNS S32550 :UR 52 N, Ferralium 255, UNS S32520 :UR 52 N+, UNS S32750 :SAF 2507, UR 47 N+, UNS S32760 :ZERON 100, UNS 32760, UR 76 N, SM22Cr, SAF 2507, ASTM S32760 (ZERON 100), S32550 and S31260.,It can also be used for welding duplex type 2205, 1.4460, 1.4462,1.4463,1.4515, 1.4517, 1.4507 URANUS 52N, SAF 25.07, GX 3 CrNiMoCuN 26-6-3, (1.4515), GX 3 CrNiMoCuN 26-6-3-3, (1.4517), 25% Cr Super Duplex steels SAF 25/07, S32750 1.4410 - 25Cr-7Ni-4Mo-0.28N SAF2507, NAS74N, S32760 1.4501 - 25Cr-7Ni-3.8Mo-0.7Cu-0.7W-0.25N, S32506 - SUS329J4L 25Cr-7Ni-3Mo-0.15N-0.2W NAS64 1.4507, S31803, S32205,",,,0.4,,,http://www.ceweld.nl/en/product/2594-super-duplex
13,26.0,A 5.9: ER 25 9 4,,,"Welding austenitic-ferritic, stainless alloys of the 25% Cr, 7% Ni, 4% Mo, low C types. Welding wrought, forged or cast super duplex stainless steels for service in the as-welded Condition. Heterogeneous welding between super duplex stainless steels and dissimilar welds between other stainless and mild or low alloyed steels. The alloy is widely used in applications in which corrosion resistance is of the utmost importance. The pulp & paper industry, offshore and gas industry are areas of interest.
",,,0.025,GMAW-GTAW Solid wires,,25.0,,8556: SG X2CrNiMo 25 9 4,1.4409999999999998,,0.0,,,0,AW,60.0,47.0,,14343-A: W 25 9 4 N L,,1.2,3.7,0.2,2594 Tig (Super Duplex),,,9.0,,,,,"2594 has high inter granulacorrosion, pitting and strescorrosion resistance with exceptional mechanical strength properties.",0,,780.0,620.0,,0.6,,"UNS S32550 :UR 52 N, Ferralium 255, UNS S32520 :UR 52 N+, UNS S32750 :SAF 2507, UR 47 N+, UNS S32760 :ZERON 100, UNS 32760, UR 76 N, SM22Cr, SAF 2507, ASTM S32760 (ZERON 100), S32550 and S31260.,It can also be used for welding duplex type 2205, 1.4460, 1.4462,1.4463,1.4515, 1.4517, 1.4507 URANUS 52N, SAF 25.07, GX 3 CrNiMoCuN 26-6-3, (1.4515), GX 3 CrNiMoCuN 26-6-3-3, (1.4517), 25% Cr Super Duplex steels SAF 25/07, S32750 1.4410 - 25Cr-7Ni-4Mo-0.28N SAF2507, NAS74N, S32760 1.4501 - 25Cr-7Ni-3.8Mo-0.7Cu-0.7W-0.25N, S32506 - SUS329J4L 25Cr-7Ni-3Mo-0.15N-0.2W NAS64 1.4507, S31803, S32205,",,,0.4,,,http://www.ceweld.nl/en/product/2594-tig-super-duplex
14,40.0,A 5.9: ER 307,,,"Buffer layers before hardfacing, dissimilar welding between steel and stainless steel, armor plate, exhaust systems (type 409, 304), high Manganese austenitic steel, heterogeneous welding, difficult to weld steels etc.",,,0.12,GMAW-GTAW Solid wires,,18.5,,8556: SG X15CrNiMn 18 8,1.4369999999999998,,0.0,,,0,AW,100.0,,,14343-A: G 18 8 MnSi,,6.5,,,307 Si,,,8.5,,,,0.025,"Corrosion resistance is equivalent to type 304, high mechanical properties and good weldability, work hardening and coltough t110°C. ",0,,600.0,360.0,0.025,0.8,,"Dissimilar welding between steel and stainless steel, armor plate, exhaust systems (type 409, 304), high Manganese austenitic steel, difficult to weld steels such as: 42CrMo4, C45, 42MnV7, tool steels, 1.3401, X120Mn12 etc.",,,,,,http://www.ceweld.nl/en/product/307-si
15,40.0,A 5.9: ER 307 (mod.),,,"Buffer layers before hardfacing, dissimilar welding between steel and stainless steel, armor plate, exhaust systems (type 409, 304), high Manganese austenitic steel, heterogeneous welding, difficult to weld steels etc.",,,0.12,GMAW-GTAW Solid wires,,18.5,,8556: SG X15CrNiMn 18 8,1.4369999999999998,,0.0,,,0,AW,100.0,,,14343-A: W 18 8 MnSi,,6.5,,,307 Si Tig,,,8.5,,,,,"Corrosion resistance is equivalent to type 304, high mechanical properties and good weldability, work hardening and coltough t110°C. ",0,,600.0,350.0,,1.0,,"Dissimilar welding between steel and stainless steel, armor plate, exhaust systems (type 409, 304), high Manganese austenitic steel, difficult to weld steels such as: 42CrMo4, C45, 42MnV7, tool steels, 1.3401, X120Mn12 etc.",,,,,,http://www.ceweld.nl/en/product/307-si-tig
16,37.0,A 5.9: ER 308L,,,"Boilers, agriculture, liquid storage tanks, food machinery, furniture. ",,,0.03,GMAW-GTAW Solid wires,,20.75,,8556: SG X2CrNi 19 9,1.4316,,0.0,,,0,AW,170.0,150.0,75.0,14343-A: W 19 9 L ,,1.75,0.75,,308 L Tig,,,10.0,,,,0.03,"308L has good general corrosion resistance. The alloy has a low carbon content, making it particularly recommended where there is a risk of intergranular corrosion.",0,,630.0,480.0,0.03,0.475,,"

W.Nr:   . 
1.4306, 1.4301, 1.4541, 1.4550, 1.4311, 1.4546, 1.4312, 1.4300, 1.4312, 1.4371, 1.4541, 1.4543, 1.4550, 1.4452


DIN.
X2CrNi 19 11 (TP), X4CrNi 18 10 (TP), X6CrNiTi 18 10 (TP), X6CrNiNb 18 10 (TP), X2CrNiN 18 10 (TP), X5CrNiNb 18 10, G-X10CrNi 18 8 (TP), 


AISI.
202, 302, 304L, 304, 305, 321, 347, 304 LNASTM A320 Grade B8C/D, 302 


 ",,,,,,http://www.ceweld.nl/en/product/308-l-tig
17,36.0,A 5.9: ER 308LSi,,,"Boilers, agriculture, liquid storage tanks, food machinery, furniture. ",,,0.03,GMAW-GTAW Solid wires,,20.75,,8556: SG X2CrNi 19 9,1.4316,,0.0,,,0,AW,110.0,70.0,45.0,14343-A: G 19 9 L Si,,1.75,0.75,,308 LSi,,,10.0,,,,0.03,"308LSi has good general corrosion resistance. The alloy has a low carbon content, making it particularly recommended where there is a risk of intergranular corrosion. The higher silicon content improves the welding properties such as wetting.",0,,620.0,460.0,0.03,0.825,,"

W.Nr:   . 
1.4306, 1.4301, 1.4541, 1.4550, 1.4311, 1.4546, 1.4312, 1.4300, 1.4312, 1.4371, 1.4541, 1.4543, 1.4550, 1.4452


DIN.
X2CrNi 19 11 (TP), X4CrNi 18 10 (TP), X6CrNiTi 18 10 (TP), X6CrNiNb 18 10 (TP), X2CrNiN 18 10 (TP), X5CrNiNb 18 10, G-X10CrNi 18 8 (TP), 


AISI.
202, 302, 304L, 304, 305, 321, 347, 304 LNASTM A320 Grade B8C/D, 302 


 ",,,,,,http://www.ceweld.nl/en/product/308-lsi
18,37.0,A 5.9: ER 308LSi,,,"Boilers, agriculture, liquid storage tanks, food machinery, furniture. ",,,0.03,GMAW-GTAW Solid wires,,20.75,,8556: SG X2CrNi 19 9,1.4316,,0.0,,,0,AW,170.0,150.0,75.0,14343-A: W 19 9 L Si,,1.75,0.75,,308 LSi Tig,,,10.0,,,,0.03,"308LSi has good general corrosion resistance. The alloy has a low carbon content, making it particularly recommended where there is a risk of intergranular corrosion. The higher silicon content improves the welding properties such as wetting.",0,,630.0,480.0,0.03,0.825,,"

W.Nr:   . 
1.4306, 1.4301, 1.4541, 1.4550, 1.4311, 1.4546, 1.4312, 1.4300, 1.4312, 1.4371, 1.4541, 1.4543, 1.4550, 1.4452


DIN.
X2CrNi 19 11 (TP), X4CrNi 18 10 (TP), X6CrNiTi 18 10 (TP), X6CrNiNb 18 10 (TP), X2CrNiN 18 10 (TP), X5CrNiNb 18 10, G-X10CrNi 18 8 (TP), 


AISI.
202, 302, 304L, 304, 305, 321, 347, 304 LNASTM A320 Grade B8C/D, 302 


 ",,,,,,http://www.ceweld.nl/en/product/308-lsi-tig
19,35.0,A 5.9: ER 308 / 308H,,,"Welding stainless steel types with an alloy content between 16 to 21% Cr and 8 to 13 % Ni, with high carbon content. ",,,0.06,GMAW-GTAW Solid wires,,20.75,0.75,8556: SG 12CrNi 19 9,1.4948,,0.0,,,0,AW,80.0,,,14343-A: G 19 9 H,,1.75,0.5,,308H,,,10.0,,,,0.03,Higher temperature and scale resistance than standard (L) types.,0,,600.0,400.0,0.03,0.475,,"

UNS S30409UNS S32109UNS S34709--
AISI :304H AISI :321HAISI :347H-- 
W.Nr : 1.4948W.Nr : 1.4941W.Nr : 1.4961W.Nr : 1.4948W.Nr : 1.4850


X6CrNiNb 18-10, 18-11, X12CrNiTi 18-9",,,,,,http://www.ceweld.nl/en/product/308h
20,35.0,A 5.9: ER 308 / 308H,,,"Welding stainless steel types with an alloy content between 16 to 21% Cr and 8 to 13 % Ni, with high carbon content. ",,,0.06,GMAW-GTAW Solid wires,,20.75,0.75,8556: SG 12CrNi 19 9,1.4948,,0.0,,,0,AW,100.0,,,14343-A: W 19 9 H,,1.75,0.5,,308H Tig,,,10.0,,,,0.03,Higher temperature and scale resistance than standard (L) types.,0,,620.0,420.0,0.03,0.475,,"

UNS S30409UNS S32109UNS S34709--
AISI :304H AISI :321HAISI :347H-- 
W.Nr : 1.4948W.Nr : 1.4941W.Nr : 1.4961W.Nr : 1.4948W.Nr : 1.4850


X6CrNiNb 18-10, 18-11, X12CrNiTi 18-9",,,,,,http://www.ceweld.nl/en/product/308h-tig
21,25.0,A 5.9: ER 309,,,"Cladding on low alloyed steels in case a 18/8 CrNi layer is required in the first layer. Scale resistant up to 1050° C., Buffer layers before hard facing, cladding and joining of similar austenitic steels, specially recommended for use in oxidizing gasses with nitrogen and gasses containing small amounts of oxygen.",,,0.12,GMAW-GTAW Solid wires,,24.0,,8556: SG X12CrNi 24 12,1.4829,,0.0,,,0,AW,70.0,,,14343-A: G 22 12 H,,1.75,,,309 H,,,13.0,,,,,"High mechanical properties and very good weldability, suitable for high operating temperatures up to 1100°C. ",0,,625.0,400.0,,0.5,,"1.2780, 1.4541, 1.4550, 1.4712, 1.4724, 1.4742, 1.4825, X15CrNiSi20 12 (1.4828), G-X 40 CrNiSi20 9 (1.4826) ",,,,,,http://www.ceweld.nl/en/product/309-h
22,31.0,A 5.9: ~ER 309 LMo,,,"A continuous, solid, corrosion-resistant wire of the ''309LMo'' type. 309MoL is used for the overlay welding of unalloyed and low-alloyed steels and for welding dissimilar steels, such as 316L, to unalloyed and low-alloyed steels when Mo is essential.",,,0.03,GMAW-GTAW Solid wires,,24.0,0.75,8556: SG X12CrNiMo 24 12 3,1.4459,,0.0,,,0,AW,110.0,60.0,,14343-A: W 23 12 3 L,,1.75,2.5,,309 LMo Tig,,,13.0,,,,0.03,Excelent corrosion resistance against oxidising air upto 950ºC. Good resistance against hot cracking due to the high Mo. content.,0,,600.0,400.0,0.03,0.475,,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or other stainless steel types to standard carbon steel. Recommended for cladding on low alloyed steel in case AISI 316 is required as first layer.",,,,,,http://www.ceweld.nl/en/product/309-lmo-tig
23,37.0,A 5.9: ER 309 LSi,,,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or difficult to weld steels. ",,,0.03,GMAW-GTAW Solid wires,,24.0,0.75,8556: SG X2CrNi 24 12,1.4332,,0.0,,,0,AW,160.0,,90.0,14343-A: W 23 12 L Si,,1.75,0.75,,309 LSi Tig,,,13.0,,,,0.03,"High mechanical properties and very good weldability due to a ingreased silicon content, suitable for operating temperatures up to 300°C. ",0,,600.0,440.0,0.03,0.825,,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or difficult to weld steels such as: 42CrMo4, C45, 42MnV7, tool steels etc.",,,,,,http://www.ceweld.nl/en/product/309-lsi-tig
24,31.0,A 5.9: ~ER 309 LMo,,,"A continuous, solid, corrosion-resistant wire of the ''309LMo'' type. 309MoL is used for the overlay welding of unalloyed and low-alloyed steels and for welding dissimilar steels, such as 316L, to unalloyed and low-alloyed steels when Mo is essential.",,,0.03,GMAW-GTAW Solid wires,,24.0,0.75,8556: SG X12CrNiMo 24 12 3,1.4459,,0.0,,,0,AW,110.0,60.0,,14343-A: G 23 12 3 L,,1.75,2.5,,309LMo,,,13.0,,,,0.03,Excelent corrosion resistance against oxidising air upto 950ºC. Good resistance against hot cracking due to the high Mo. content.,0,,600.0,400.0,0.03,0.475,,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or other stainless steel types to standard carbon steel. Recommended for cladding on low alloyed steel in case AISI 316 is required as first layer.",,,,,,http://www.ceweld.nl/en/product/309lmo
25,37.0,A 5.9: ER 309 LSi,,,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or difficult to weld steels. ",,,0.03,GMAW-GTAW Solid wires,,24.0,,8556: SG X2CrNi 24 12,1.4332,,0.0,,,0,AW,160.0,,90.0,14343-A: W 23 12 L Si,,2.0,,,309LSi,,,13.0,,,,,"High mechanical properties and very good weldability due to a ingreased silicon content, suitable for operating temperatures up to 300°C. ",0,,600.0,440.0,,0.9,,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or difficult to weld steels such as: 42CrMo4, C45, 42MnV7, tool steels etc.",,,,,,http://www.ceweld.nl/en/product/309lsi
26,45.0,A 5.9: ER 310,,,"Common applications include industrial furnaces, annealing chambers, fused salt treatment installations and boiler parts, as well as heat exchangers.",,,0.1,GMAW-GTAW Solid wires,,26.0,0.3,8556: SG X12CrNi 25 20,1.4842,,0.0,,,0,AW,175.0,,60.0,14343-A: G 25 20 Mn,,1.8,0.3,,310,,,21.0,,,,,"Solid drawn ,corrosioresistant, chromiunickel wire for welding hearesistant austenitic steels of the 25% Cr, 20% Ni types. 310 has good general oxidation resistance, especially at high temperatures, due to its high Cr content. The alloy is fully austenitic and is therefore sensitive to hot cracking. The temperature limits for use under intermittent oxidation depend on cycle frequency. In no case shall a temperature of 1000°C be exceeded. This alloy can withstand relatively severe thermic shock, and is superior to type 309 L.",0,,590.0,3.0,,0.5,,"Heat resistant stainless steels: 1.4823, 1.4826, 1.4828, 1.4832, 1.4835, 1.4840, 1.4841, 1.4846, 1.4848, 1.4837, 1.4710, 1.4713, 1.4724, 1.4726, 1.4742, 1.4745, 1.4762, 1.4845, 1.4849, 253MA,X15CrNiSi 25 20, G-X40CrNiSi 25 12, G-X15CrNi 25 20",,,,,,http://www.ceweld.nl/en/product/310
27,42.0,A 5.9: ER 310LMo,,,The weld deposit has excellent low temperature toughness that makes it suitable for joining stainless steels for cryogenic service,,,4.5,GMAW-GTAW Solid wires,,,,,1.4466,,0.0,,170.0,3,AW,120.0,,100.0,14343-A: 25 22 2 N L,,22.0,,,310 LMo Tig,,,,,,,2.1,"310 LMo has been developed primarly to cope with the severe corrosion conditions existing in the urea industry. Therefore, this filler has excellent resistance to corrosion in ammonium carbamate and nitric acid",0,,580.0,335.0,0.13,25.0,,"Heat resistant stainless steels, UNS S31050, 1.4466, UNS S31603, 1.4435",,,,,,http://www.ceweld.nl/en/product/310-lmo-tig
