,As,C,Charpy,Cr,Cu,Diffusible Hydrogen,Elongation,Lateral,Mn,Mn + Ni + Cr + Mo + V,Mo,N,Nb,Ni,Ni+Mn,P,P S,S,S Ni,SN,Si,Si P,Sn,Tensile,V,Yield,aws,conformances,ind,key features,requirements,typic_results,typical applications,category,name,url
10,,,27.0,,,,24.0,,,,,,,,,,,,,,,,,550.0,,510.0, E8018-C3 H4R,,161,,Requirements - AWS E8018-C3 H4R,Typical Results(3) - As-Welded,,,,
11,,0.075,122.0,0.4,,,28.0,,0.75,,,,,1.05,,,,0.025,,,0.6000000000000001,,,612.5,,547.5, E8018-C3 H4R,"typical-applications-------------
•-oil-refineries-•-pressure-vessels
•-power-plants-•-heat-exchangers
•-piping",162,"•-designed-for-corrosion-resistance-in-elevated-temperatur
to-600⁰c-(1112⁰f)-
•-moisture-resistant-coating-provides-low-amounts-of-weld
hydrogen-levels-for-a-superior-weld
•-smooth-arc-performance-in-all-positions
welding-positions------------
all,-except-vertical-down",Requirements - AWS E8018-C3 H4R,Typical Results(3) - As-Welded,"conformances
res-up-aws-5.5-e8015-b8-h4
bs-en-iso-3580-a-e-crmo9-b-3-2-h5
d-metal-
bs-en-iso-3580-b-e-6216-9c1m",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur10018-D2MR(LincolnElectric)
12,,0.1,,,,,17.0,,0.5750000000000001,,0.05,,0.2,1.025,,0.01,,0.01,,,0.30000000000000004,,,620.0,0.25,530.0, E9018-B3 H4R,"aws-a5.5-e9015-b91
bs-en-iso-3580-b-e-6216-9c1mv
91,",164,"•-improved-long-term-creep-properties
•-can-weld-equivalent-(p91)-9crmo-steels
•-designed-to-weld-the-modified-steels-t91,-p91-or-grade-9
which-are-designed-to-provide-improved-creep-strength,-
toughness-fatigue-and-oxidation,-and-corrosion-resistance
at-elevated-temperatures.
welding-positions----------
all",Requirements - AWS E9018-B3 H4R,"Typical Results(3)  - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)","diameters-/-packaging
diameter-4.5-kg-(10-lb)-
mm-(in)-easy-open-can",,,
13,,,95.0,,,,28.5,,,,,,,,,,,,,,,,,575.0,,485.0, E7018-A1 H4R,,16,,Requirements - AWS E7018-A1 H4R,"Typical Results(3) - As-Welded
   Stress-Relieved 1 hr @ 620°C (1150°F)",,hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jet-LH-Jet-LH78MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Jet-LH-Jet-LH78MR(LincolnElectric)
14,,,64.5,,,,21.5,,,,,,,,,,,,,,,,,710.0,,600.0, E9018-B3 H4R,,165,,Requirements - AWS E9018-B3 H4R,"Typical Results(3)  - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)",,stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur11018MMR(LincolnElectric)
15,,,27.0,,,,24.0,,,,,,,,,,,,,,,,,620.0,,580.0, E9018M H4R,,167,,Requirements - AWS E9018M H4R,Typical Results(3)  - As-Welded,,,,
16,,0.1,74.5,,,,30.5,,1.5,,,,,0.35000000000000003,,,,0.025,,,0.8,,,662.5,,580.0, E9018M H4R,"typical-applications-------------
•-offshore-oil-pipework
•-fittings",168,"•-moisture-resistant-coating-provides-low-amount-of-weld-m
hydrogen-levels-for-a-superior-weld
•-developed-to-resist-sulphide-induced-stress-corrosion-cra
•-improved-sub-zero-toughness
welding-positions------------
all,-except-vertical-down",Requirements - AWS E9018M H4R,Typical Results(3)  - As-Welded,"conformances
metal-aws-5.5-e9018-d1
bs-2493-mnmobh
acking",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur7018-A1MR(LincolnElectric)
17,,0.15,27.0,0.2,,4.0,22.0,,1.6,1.75,0.30000000000000004,,,,,0.035,,,0.1675,,0.75,,,430.0,0.08,330.0, E6010,"diameters-/-packaging
h4r",170,"improved-coating-integrity
extreme-bendability
60%-less-moisture-pickup-vs.-competition
reduction-of-arc-starting-porosity
clear-puddle-and-a-smooth-arc",Requirements - AWS E6010,Typical Results(3) - As-Welded,"power-generation-pressure-piping
petrochemical-mild-steel
pressure-vessels",,,
18,,0.055,56.0,0.045,,2.5,29.0,,1.28,1.395,0.05,,,,,0.015,,,0.0266666667,,0.51,,,557.5,0.02,460.0, E6010,"diameters-/-packaging
h4r",171,"improved-coating-integrity
extreme-bendability
60%-less-moisture-pickup-vs.-competition
reduction-of-arc-starting-porosity
clear-puddle-and-a-smooth-arc",Requirements - AWS E6010,Typical Results(3) - As-Welded,"power-generation-pressure-piping
petrochemical-mild-steel
pressure-vessels",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-B2MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-B2MR(LincolnElectric)
19,,0.15,27.0,0.2,,4.0,22.0,,1.6,,0.30000000000000004,,,0.30000000000000004,,,0.1925,,,,0.75,,,490.0,,415.0, E7010-P1,nan,173,"q2-lot®-certificate-showing-actual-deposit-
composition-and-actual-mechanical-properties-
available-online
available-as-batch-managed-inventory
“n”-designator-design-modified-to-
meet-properties-after-48-hours-stress-relief
premium-arc-performance
square-coating-burn-off
easy-strike-and-re-strike
effortless-slag-removal
mal-spatter-for-enhanced-operability-
and-clean-weld-surface",Requirements - AWS E7010-P1,Typical Results(3) - As-Welded,"nuclear-power-plant-construction-and-maintenance
power-generation
petrochemical
pressure-vessels
pressure-piping
fill-and-cap-pass-welding-of-up-to-x65-grade-pipe
asme-ix-qualification
asme-ix-qualification:-qw432-f-no-4,-
qw442-a-no-1",,,
20,,0.07,70.5,0.03,,2.0,26.0,,0.97,,0.225,,,0.02,,,0.01,,,,0.27,,,580.0,,485.0, E7010-P1,nan,174,"q2-lot®-certificate-showing-actual-deposit-
composition-and-actual-mechanical-properties-
available-online
available-as-batch-managed-inventory
“n”-designator-design-modified-to-
meet-properties-after-48-hours-stress-relief
premium-arc-performance
square-coating-burn-off
easy-strike-and-re-strike
effortless-slag-removal
mal-spatter-for-enhanced-operability-
and-clean-weld-surface",Requirements - AWS E7010-P1,Typical Results(3) - As-Welded,"nuclear-power-plant-construction-and-maintenance
power-generation
petrochemical
pressure-vessels
pressure-piping
fill-and-cap-pass-welding-of-up-to-x65-grade-pipe
asme-ix-qualification
asme-ix-qualification:-qw432-f-no-4,-
qw442-a-no-1",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C1MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C1MR(LincolnElectric)
21,,,27.0,,,,19.0,,,,,,,,,,,,,,,,,550.0,,460.0, E8010-P1,,176,,Requirements - AWS E8010-P1,Typical Results(3) - As-Welded,,,,
22,,0.15,99.0,0.30000000000000004,,,25.5,,1.6,,0.08,,,,,0.035,,0.035,,,0.75,,,615.0,1.75,510.0, E8010-P1,"diameters-/-packaging
buy-america",177,"•-exceeds-aws-toughness-requirements-at-50°f
•-extreme-bend-ability
•-60%-less-moisture-pickup-vs.-competition
•-clear-puddle-and-a-smooth-arc
•-meets-chemical-composition-recommendations-of-api-7
•-q2-lot®-certificate-showing-actual-deposit-chemistry-an
mechanical-properties-available-online",Requirements - AWS E8010-P1,Typical Results(3) - As-Welded,"•-power-generation-•-pressure-piping
•-petrochemical-•-fill-and-cap-pass-welding
to-x65-grade-pipe
•-pressure-vessels",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C3MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur8018-C3MR(LincolnElectric)
23,,,27.0,,,,19.0,,,,,,,,,,,,,,,,,550.0,,460.0,"
 E8010‐P1",,179,,"Requirements
AWS E8010‐P1","Typical Results(3)
As-Welded",,,,
24,,0.05,,,,3.0,19.0,,0.675,,0.55,,,,,,,,,,,0.3033333333,,550.0,,460.0, E8018-B2 H4R,"typical-applications
(cid:23)(cid:3)fabrication-and-maintenance-welding
(cid:23)(cid:3)pressure-vessels-and-pressure-piping",18,"(cid:23)(cid:3)designed-for-welding-0.50%-molybdenum-steel
(cid:23)(cid:3)premium-arc-performance
(cid:23)(cid:3)square-coating-burn-off
(cid:23)(cid:3)easy-strike,-re-strike-and-slag-removal
(cid:23)(cid:3)capable-of-exceeding-aws-mum-
requirement-of-490-mpa-(70-ksi)-tensile-
strength-after-8-hours-of-stress-relieving-
at-620°c-(1150°f)",Requirements - AWS E8018-B2 H4R,"Typical Results(3) - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)","diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can-10-lb
1-h4r",hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Lincoln-Lincoln7018AC(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Lincoln-Lincoln7018AC(LincolnElectric)
25,,0.15,99.0,0.2,,8.0,25.5,,1.6,1.75,0.30000000000000004,,,,,0.035,,,0.1675,,0.9,,,560.0,0.08,510.0,"
 E8010‐P1","key-features
-
high-deposition-rates
-
premium-arc-performance
-
high-travel-speed
-
h8-diffusible-hydrogen-levels
-
capable-of-producing-weld-deposits-with-
impact-toughness-exceeding-84-j-(60-ft•lbf)-
at-40°c-(-40°f)
y)
welding-positions
flat-&-horizontal",180,"typical-applications
-
structural-storage-tanks
-
heavy-fabrication-bridge-fabrication
-
shipbuilding","Requirements
AWS E8010‐P1","Typical Results(3)
As-Welded","conformances
aws-a5.1/a5.1m:-2004-e7028-h8
asme-sfa-a5.1:-e7028-h8
abs:-e7028,-3y-h10-(fillet-only
lloyd’s-register:-3ym-h10
dnv-grade:-3-yh10
cwb/csa-w48-06:-e4928-h8
aws-e7028-h8-•-mild-steel,-low-hydrogen",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018-B3MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018-B3MR(LincolnElectric)
26,,0.145,99.0,0.035,,,25.5,,0.635,,0.125,,,0.74,,0.015,,,,,0.185,,,560.0,,510.0,"
 E8010‐P1",diameters-/-packaging,180,"typical-applications
(cid:23)(cid:3)root-pass-welding-of-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-of-up-to-x65-grade-pipe
(cid:23)(cid:3)vertical-down-welding","Requirements
AWS E8010‐P1","Typical Results(3)
As-Welded","conformances
aws-a5.5/a5.5m:-2006-e7010-p1
asme-sfa-a5.5:-e7010-p1
abs:-e7010-p1",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018-B3MR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018-B3MR(LincolnElectric)
27,,0.15,,0.30000000000000004,,,19.0,,1.6,,0.08,,,,,0.035,,0.035,,,0.75,,,550.0,1.75,460.0, E8018-G H4,"aws-a5.1:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018,-3y
lloyd’s-register:-3ym-h5
dnv-grade:-3-y40h5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06:-e4918-1
mil-e-22200/1:-mil-7018",183,•-smooth-arc-performance,Requirements - AWS E8018-G H4,Typical Results(3) - As-Welded,"•-general-fabrication
welding-positions
all,-except-vertical-down",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018MMR(LincolnElectric)
28,,0.06,131.5,,,,28.0,,1.06,,,,,,,0.015,,0.02,,,0.41500000000000004,,,665.0,,585.0, E8018-G H4,"aws-a5.1:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018,-3y
lloyd’s-register:-3ym-h5
dnv-grade:-3-y40h5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06:-e4918-1
mil-e-22200/1:-mil-7018",184,•-smooth-arc-performance,Requirements - AWS E8018-G H4,Typical Results(3) - As-Welded,"•-general-fabrication
welding-positions
all,-except-vertical-down",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018MMR(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Excalibur-Excalibur9018MMR(LincolnElectric)
29,,0.15,27.0,0.30000000000000004,,,22.0,,1.6,,0.08,,,,,0.035,,0.035,,,0.75,,,430.0,1.75,330.0, E6010,"aws-a5.1/a5.1m:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018
lloyd’s-register:-3ym-h5
dnv-grade:-3-yh5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06-e4918-1",186,•-smooth-arc-performance,Requirements - AWS E6010,Typical Results(3) - As-Welded,"•-general-fabrication
welding-positions
all,-except-vertical-down",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner6PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner6PPlus(LincolnElectric)
30,,0.055,56.0,,,,29.0,,1.05,,,,,,,0.01,,0.01,,,0.41000000000000003,,,557.5,,460.0, E6010,"aws-a5.1/a5.1m:-e7018-h4r
asme-sfa-a5.1:-e7018-h4r
abs:-e7018
lloyd’s-register:-3ym-h5
dnv-grade:-3-yh5
gl:-3yh5
bv-grade:-3yhhh
cwb/csa-w48-06-e4918-1",187,•-smooth-arc-performance,Requirements - AWS E6010,Typical Results(3) - As-Welded,"•-general-fabrication
welding-positions
all,-except-vertical-down",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner6PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner6PPlus(LincolnElectric)
31,,0.2,,0.30000000000000004,,,15.0,,1.2,,0.5,,,1.0,,0.30000000000000004,,0.03,,,0.6000000000000001,,,690.0,,600.0, E10018-G H4R,"typical-applications-------------
•-root-pass-welding-of-up-to-x80-grade-pipe
•-hot,-fill-and-cap-pass-welding-on-up-to-x70-
grade-pipe
welding-positions------------
all",189,"•-excellent-impact-properties-without-the-intentional-
addition-of-boron
•-high-productivity-in-vertical-down-and-out‐of‐position-
pipe-welding
•-deep-penetration
•-q2-lot®-control-and-tested-–-certificate-showing-
actual-deposit-chemistry-per-lot-available-online.
•-clean,-visible-weld-puddle
•-superior-puddle-control",Requirements - AWS E10018-G H4R,Typical Results(3)  - As-Welded,"conformances
aws-a5.5/a5.5m:-e8010‐p1,-e8010‐g
asme-sfa‐a5.5:-e8010‐p1,-e8010‐g
csa/cwb-w48-06:-e5510-p1,-e5510-g",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner7PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner7PPlus(LincolnElectric)
32,,0.145,110.0,0.035,,,23.0,,0.765,,0.17500000000000002,,,0.865,,0.015,,0.015,,,0.17,,,782.5,,700.0, E10018-G H4R,"typical-applications-------------
•-root-pass-welding-of-up-to-x80-grade-pipe
•-hot,-fill-and-cap-pass-welding-on-up-to-x70-
grade-pipe
welding-positions------------
all",190,"•-excellent-impact-properties-without-the-intentional-
addition-of-boron
•-high-productivity-in-vertical-down-and-out‐of‐position-
pipe-welding
•-deep-penetration
•-q2-lot®-control-and-tested-–-certificate-showing-
actual-deposit-chemistry-per-lot-available-online.
•-clean,-visible-weld-puddle
•-superior-puddle-control",Requirements - AWS E10018-G H4R,Typical Results(3)  - As-Welded,"conformances
aws-a5.5/a5.5m:-e8010‐p1,-e8010‐g
asme-sfa‐a5.5:-e8010‐p1,-e8010‐g
csa/cwb-w48-06:-e5510-p1,-e5510-g",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner7PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner7PPlus(LincolnElectric)
33,,0.085,27.0,1.25,,4.0,19.0,,0.9,,0.525,,,,,0.03,,0.03,,,0.8,,,550.0,,460.0," E8045-P2 H4R
PIPELINER LH-D80","diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e8018-b2-h4r-•-low-alloy,-low-hydrogen",192,"typical-applications
(cid:23)(cid:3)power-generation-(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)petrochemical-(cid:23)(cid:3)process-piping","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","conformances
aws-a5.5/a5.5m:-2006-e8018-b2-h4r
asme-sfa-a5.5:-e8018-b2-h4r
cwb/csa-w48-06:-e5518-b2
welding-positions
all,-except-vertical-down",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner8PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner8PPlus(LincolnElectric)
34,,0.15,100.0,0.30000000000000004,,,28.5,,1.6,,0.08,,,,,0.035,,0.035,,,0.75,,,585.0,1.75,500.0," E8045-P2 H4R
PIPELINER LH-D80","aws-a5.1/a5.1m:-e7018-h8
asme-sfa-a5.1:-e7018-h8
cwb/csa-w48-06:-e4918-h8
welding-positions
all,-except-vertical-down",193,"•-ac-polarity-welding
•-low-open-circuit-voltage-operation
•-mal-spatter
•-capable-of-cold-re-strikes","Requirements - AWS E8045-P2 H4R
PIPELINER LH-D80","Typical Results(3) - As-Welded
Requirements - AWS E9045-P2 H4R","•-general-fabrication
•-tack-and-skip-welds
•-thin-sections",stainless-high-alloy,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner8PPlus(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Pipeliner-Pipeliner8PPlus(LincolnElectric)
35,,,99.0,,,,25.0,,,,,,,,,,,,,,,,,662.5,,562.5, E8018-B2 H4R,,19,,Requirements - AWS E8018-B2 H4R,"Typical Results(3) - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)",,hardfacing,Products_Consumable_StickElectrodes-MildandLowAlloySteels-Lincoln-Lincoln7018AC(LincolnElectric),https://www.lincolnelectric.com/en-us/Consumables/Pages/product.aspx?product=Products_Consumable_StickElectrodes-MildandLowAlloySteels-Lincoln-Lincoln7018AC(LincolnElectric)
