,A5,AWS,Applications,Category,DIN,DIN_W,Hardness,Heat_Treated,IE-20,IE-40,IE-60,ISO,Name,Others,Properties,Redrying_Temp,Rm,Rp0,Suitable_For,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
10,8.0,A 5.9:,Joining and cladding high heat resistant CrNi-steels of the same kind and Cast steels in a low sulphourus invironment.,2.0,,1.4853,,AW,,,,14343-A: G(Z) 25 35 Zr,25-35Nb,,"Recommended for operating temperatures up to 1150° C in carburized low-sulphur combustion gas, e. g. reforming ovens in petrochemical plants.",,690.0,460.0,"1.4852, 1.4853, G-X 40 NiCrNb 35 25, 1.4857, G-X 40 NiCrSi 35 25, 1.4837, G-X40CrNiSi25-12, 1.4848, G-X40CrNiSi25--20, 1.4849, G-X40NiCr38-18, G-X40NiCrNb35-25, cast steels, HK40, HK45, UNS: J93503, J94204, N08705",,1.7,,1.1,0.45,26.0,,35.0,,,,,34.40000000000001,1.35,,,,,,,,,,,,,
11,8.0,A 5.9:,Joining and cladding high heat resistant CrNi-steels of the same kind and Cast steels in a low sulphourus invironment.,2.0,,1.4853,,AW,,,,14343-A: WZ 25 35 Zr,25-35Nb Tig,,,,690.0,460.0,"1.4852, 1.4853,  G-X 40 NiCrNb 35 25, 1.4857, G-X 40 NiCrSi 35 25, 1.4837, G-X40CrNiSi25-12, 1.4848, G-X40CrNiSi25--20, 1.4849, G-X40NiCr38-18, G-X40NiCrNb35-25, cast steels, HK40, HK45, UNS: J93503, J94204, N08705",,1.0,,0.9,0.4,26.0,,35.0,,,,,35.25999999999999,1.35,0.09,,,,,,,,,,,,
12,27.0,A 5.9: ER 25 9 4,"Welding austenitic-ferritic, stainless alloys of the 25% Cr, 7% Ni, 4% Mo, low C types. Welding wrought, forged or cast super duplex stainless steels for service in the as-welded Condition. Heterogeneous welding between super duplex stainless steels and dissimilar welds between other stainless and mild or low alloyed steels. The alloy is widely used in applications in which corrosion resistance is of the utmost importance. The pulp & paper industry, offshore and gas industry are areas of interest.
",2.0,8556: SG X2CrNiMo 25 9 4,1.4409999999999998,,AW,65.0,55.0,,14343-A: G 25 9 4 N L,2594 (Super Duplex),,"2594 has high intergranular-corrosion, pitting and stress-corrosion resistance with exceptinal mechanical strenght properties.",,900.0,700.0,"UNS S32550 :UR 52 N, Ferralium 255, UNS S32520 :UR 52 N+, UNS S32750 :SAF 2507, UR 47 N+, UNS S32760 :ZERON 100, UNS 32760, UR 76 N, SM22Cr, SAF 2507, ASTM S32760 (ZERON 100), S32550 and S31260.,It can also be used for welding duplex type 2205, 1.4460, 1.4462,1.4463,1.4515, 1.4517, 1.4507 URANUS 52N, SAF 25.07, GX 3 CrNiMoCuN 26-6-3, (1.4515), GX 3 CrNiMoCuN 26-6-3-3, (1.4517), 25% Cr Super Duplex steels SAF 25/07, S32750 1.4410 - 25Cr-7Ni-4Mo-0.28N SAF2507, NAS74N, S32760 1.4501 - 25Cr-7Ni-3.8Mo-0.7Cu-0.7W-0.25N, S32506 - SUS329J4L 25Cr-7Ni-3Mo-0.15N-0.2W NAS64 1.4507, S31803, S32205,",,1.2,,0.6,0.025,25.0,3.7,9.0,,,,0.2,,,,0.4,,,,,,,,,,,
13,26.0,A 5.9: ER 25 9 4,"Welding austenitic-ferritic, stainless alloys of the 25% Cr, 7% Ni, 4% Mo, low C types. Welding wrought, forged or cast super duplex stainless steels for service in the as-welded Condition. Heterogeneous welding between super duplex stainless steels and dissimilar welds between other stainless and mild or low alloyed steels. The alloy is widely used in applications in which corrosion resistance is of the utmost importance. The pulp & paper industry, offshore and gas industry are areas of interest.
",2.0,8556: SG X2CrNiMo 25 9 4,1.4409999999999998,,AW,60.0,47.0,,14343-A: W 25 9 4 N L,2594 Tig (Super Duplex),,"2594 has high inter granular-corrosion, pitting and stress-corrosion resistance with exceptional mechanical strength properties.",,780.0,620.0,"UNS S32550 :UR 52 N, Ferralium 255, UNS S32520 :UR 52 N+, UNS S32750 :SAF 2507, UR 47 N+, UNS S32760 :ZERON 100, UNS 32760, UR 76 N, SM22Cr, SAF 2507, ASTM S32760 (ZERON 100), S32550 and S31260.,It can also be used for welding duplex type 2205, 1.4460, 1.4462,1.4463,1.4515, 1.4517, 1.4507 URANUS 52N, SAF 25.07, GX 3 CrNiMoCuN 26-6-3, (1.4515), GX 3 CrNiMoCuN 26-6-3-3, (1.4517), 25% Cr Super Duplex steels SAF 25/07, S32750 1.4410 - 25Cr-7Ni-4Mo-0.28N SAF2507, NAS74N, S32760 1.4501 - 25Cr-7Ni-3.8Mo-0.7Cu-0.7W-0.25N, S32506 - SUS329J4L 25Cr-7Ni-3Mo-0.15N-0.2W NAS64 1.4507, S31803, S32205,",,1.2,,0.6,0.025,25.0,3.7,9.0,,,,0.2,,,,0.4,,,,,,,,,,,
14,40.0,A 5.9: ER 307,"Buffer layers before hardfacing, dissimilar welding between steel and stainless steel, armor plate, exhaust systems (type 409, 304), high Manganese austenitic steel, heterogeneous welding, difficult to weld steels etc.",2.0,8556: SG X15CrNiMn 18 8,1.4369999999999998,,AW,100.0,,,14343-A: G 18 8 MnSi,307 Si,,"Corrosion resistance is equivalent to type 304, high mechanical properties and good weldability, work hardening and cold-tough to -110°C. ",,600.0,360.0,"Dissimilar welding between steel and stainless steel, armor plate, exhaust systems (type 409, 304), high Manganese austenitic steel, difficult to weld steels such as: 42CrMo4, C45, 42MnV7, tool steels, 1.3401, X120Mn12 etc.",,6.5,,0.8,0.12,18.5,,8.5,0.025,0.025,,,,,,,,,,,,,,,,,
15,40.0,A 5.9: ER 307 (mod.),"Buffer layers before hardfacing, dissimilar welding between steel and stainless steel, armor plate, exhaust systems (type 409, 304), high Manganese austenitic steel, heterogeneous welding, difficult to weld steels etc.",2.0,8556: SG X15CrNiMn 18 8,1.4369999999999998,,AW,100.0,,,14343-A: W 18 8 MnSi,307 Si Tig,,"Corrosion resistance is equivalent to type 304, high mechanical properties and good weldability, work hardening and cold-tough to -110°C. ",,600.0,350.0,"Dissimilar welding between steel and stainless steel, armor plate, exhaust systems (type 409, 304), high Manganese austenitic steel, difficult to weld steels such as: 42CrMo4, C45, 42MnV7, tool steels, 1.3401, X120Mn12 etc.",,6.5,,1.0,0.12,18.5,,8.5,,,,,,,,,,,,,,,,,,,
16,37.0,A 5.9: ER 308L,"Boilers, agriculture, liquid storage tanks, food machinery, furniture. ",2.0,8556: SG X2CrNi 19 9,1.4316,,AW,170.0,150.0,75.0,14343-A: W 19 9 L ,308 L Tig,,"308L has good general corrosion resistance. The alloy has a low carbon content, making it particularly recommended where there is a risk of intergranular corrosion.",,630.0,480.0,"

W.Nr:   . 
1.4306, 1.4301, 1.4541, 1.4550, 1.4311, 1.4546, 1.4312, 1.4300, 1.4312, 1.4371, 1.4541, 1.4543, 1.4550, 1.4452


DIN.
X2CrNi 19 11 (TP), X4CrNi 18 10 (TP), X6CrNiTi 18 10 (TP), X6CrNiNb 18 10 (TP), X2CrNiN 18 10 (TP), X5CrNiNb 18 10, G-X10CrNi 18 8 (TP), 


AISI.
202, 302, 304L, 304, 305, 321, 347, 304 LNASTM A320 Grade B8C/D, 302 


 ",,1.75,,0.475,0.03,20.75,0.75,10.0,0.03,0.03,,,,,,,,,,,,,,,,,
17,36.0,A 5.9: ER 308LSi,"Boilers, agriculture, liquid storage tanks, food machinery, furniture. ",2.0,8556: SG X2CrNi 19 9,1.4316,,AW,110.0,70.0,45.0,14343-A: G 19 9 L Si,308 LSi,,"308LSi has good general corrosion resistance. The alloy has a low carbon content, making it particularly recommended where there is a risk of intergranular corrosion. The higher silicon content improves the welding properties such as wetting.",,620.0,460.0,"

W.Nr:   . 
1.4306, 1.4301, 1.4541, 1.4550, 1.4311, 1.4546, 1.4312, 1.4300, 1.4312, 1.4371, 1.4541, 1.4543, 1.4550, 1.4452


DIN.
X2CrNi 19 11 (TP), X4CrNi 18 10 (TP), X6CrNiTi 18 10 (TP), X6CrNiNb 18 10 (TP), X2CrNiN 18 10 (TP), X5CrNiNb 18 10, G-X10CrNi 18 8 (TP), 


AISI.
202, 302, 304L, 304, 305, 321, 347, 304 LNASTM A320 Grade B8C/D, 302 


 ",,1.75,,0.825,0.03,20.75,0.75,10.0,0.03,0.03,,,,,,,,,,,,,,,,,
18,37.0,A 5.9: ER 308LSi,"Boilers, agriculture, liquid storage tanks, food machinery, furniture. ",2.0,8556: SG X2CrNi 19 9,1.4316,,AW,170.0,150.0,75.0,14343-A: W 19 9 L Si,308 LSi Tig,,"308LSi has good general corrosion resistance. The alloy has a low carbon content, making it particularly recommended where there is a risk of intergranular corrosion. The higher silicon content improves the welding properties such as wetting.",,630.0,480.0,"

W.Nr:   . 
1.4306, 1.4301, 1.4541, 1.4550, 1.4311, 1.4546, 1.4312, 1.4300, 1.4312, 1.4371, 1.4541, 1.4543, 1.4550, 1.4452


DIN.
X2CrNi 19 11 (TP), X4CrNi 18 10 (TP), X6CrNiTi 18 10 (TP), X6CrNiNb 18 10 (TP), X2CrNiN 18 10 (TP), X5CrNiNb 18 10, G-X10CrNi 18 8 (TP), 


AISI.
202, 302, 304L, 304, 305, 321, 347, 304 LNASTM A320 Grade B8C/D, 302 


 ",,1.75,,0.825,0.03,20.75,0.75,10.0,0.03,0.03,,,,,,,,,,,,,,,,,
19,35.0,A 5.9: ER 308 / 308H,"Welding stainless steel types with an alloy content between 16 to 21% Cr and 8 to 13 % Ni, with high carbon content. ",2.0,8556: SG 12CrNi 19 9,1.4948,,AW,80.0,,,14343-A: G 19 9 H,308H,,Higher temperature and scale resistance than standard (L) types.,,600.0,400.0,"

UNS S30409UNS S32109UNS S34709--
AISI :304H AISI :321HAISI :347H-- 
W.Nr : 1.4948W.Nr : 1.4941W.Nr : 1.4961W.Nr : 1.4948W.Nr : 1.4850


X6CrNiNb 18-10, 18-11, X12CrNiTi 18-9",0.75,1.75,,0.475,0.06,20.75,0.5,10.0,0.03,0.03,,,,,,,,,,,,,,,,,
20,35.0,A 5.9: ER 308 / 308H,"Welding stainless steel types with an alloy content between 16 to 21% Cr and 8 to 13 % Ni, with high carbon content. ",2.0,8556: SG 12CrNi 19 9,1.4948,,AW,100.0,,,14343-A: W 19 9 H,308H Tig,,Higher temperature and scale resistance than standard (L) types.,,620.0,420.0,"

UNS S30409UNS S32109UNS S34709--
AISI :304H AISI :321HAISI :347H-- 
W.Nr : 1.4948W.Nr : 1.4941W.Nr : 1.4961W.Nr : 1.4948W.Nr : 1.4850


X6CrNiNb 18-10, 18-11, X12CrNiTi 18-9",0.75,1.75,,0.475,0.06,20.75,0.5,10.0,0.03,0.03,,,,,,,,,,,,,,,,,
21,25.0,A 5.9: ER 309,"Cladding on low alloyed steels in case a 18/8 CrNi layer is required in the first layer. Scale resistant up to 1050° C., Buffer layers before hard facing, cladding and joining of similar austenitic steels, specially recommended for use in oxidizing gasses with nitrogen and gasses containing small amounts of oxygen.",2.0,8556: SG X12CrNi 24 12,1.4829,,AW,70.0,,,14343-A: G 22 12 H,309 H,,"High mechanical properties and very good weldability, suitable for high operating temperatures up to 1100°C. ",,625.0,400.0,"1.2780, 1.4541, 1.4550, 1.4712, 1.4724, 1.4742, 1.4825, X15CrNiSi20 12 (1.4828), G-X 40 CrNiSi20 9 (1.4826) ",,1.75,,0.5,0.12,24.0,,13.0,,,,,,,,,,,,,,,,,,,
22,31.0,A 5.9: ~ER 309 LMo,"A continuous, solid, corrosion-resistant wire of the ''309LMo'' type. 309MoL is used for the overlay welding of unalloyed and low-alloyed steels and for welding dissimilar steels, such as 316L, to unalloyed and low-alloyed steels when Mo is essential.",2.0,8556: SG X12CrNiMo 24 12 3,1.4459,,AW,110.0,60.0,,14343-A: W 23 12 3 L,309 LMo Tig,,Excelent corrosion resistance against oxidising air upto 950ºC. Good resistance against hot cracking due to the high Mo. content.,,600.0,400.0,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or other stainless steel types to standard carbon steel. Recommended for cladding on low alloyed steel in case AISI 316 is required as first layer.",0.75,1.75,,0.475,0.03,24.0,2.5,13.0,0.03,0.03,,,,,,,,,,,,,,,,,
23,37.0,A 5.9: ER 309 LSi,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or difficult to weld steels. ",2.0,8556: SG X2CrNi 24 12,1.4332,,AW,160.0,,90.0,14343-A: W 23 12 L Si,309 LSi Tig,,"High mechanical properties and very good weldability due to a ingreased silicon content, suitable for operating temperatures up to 300°C. ",,600.0,440.0,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or difficult to weld steels such as: 42CrMo4, C45, 42MnV7, tool steels etc.",0.75,1.75,,0.825,0.03,24.0,0.75,13.0,0.03,0.03,,,,,,,,,,,,,,,,,
24,31.0,A 5.9: ~ER 309 LMo,"A continuous, solid, corrosion-resistant wire of the ''309LMo'' type. 309MoL is used for the overlay welding of unalloyed and low-alloyed steels and for welding dissimilar steels, such as 316L, to unalloyed and low-alloyed steels when Mo is essential.",2.0,8556: SG X12CrNiMo 24 12 3,1.4459,,AW,110.0,60.0,,14343-A: G 23 12 3 L,309LMo,,Excelent corrosion resistance against oxidising air upto 950ºC. Good resistance against hot cracking due to the high Mo. content.,,600.0,400.0,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or other stainless steel types to standard carbon steel. Recommended for cladding on low alloyed steel in case AISI 316 is required as first layer.",0.75,1.75,,0.475,0.03,24.0,2.5,13.0,0.03,0.03,,,,,,,,,,,,,,,,,
25,37.0,A 5.9: ER 309 LSi,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or difficult to weld steels. ",2.0,8556: SG X2CrNi 24 12,1.4332,,AW,160.0,,90.0,14343-A: W 23 12 L Si,309LSi,,"High mechanical properties and very good weldability due to a ingreased silicon content, suitable for operating temperatures up to 300°C. ",,600.0,440.0,"Buffer layers before hard facing, dissimilar joints between ferritic and austenitic steels and or difficult to weld steels such as: 42CrMo4, C45, 42MnV7, tool steels etc.",,2.0,,0.9,0.03,24.0,,13.0,,,,,,,,,,,,,,,,,,,
26,45.0,A 5.9: ER 310,"Common applications include industrial furnaces, annealing chambers, fused salt treatment installations and boiler parts, as well as heat exchangers.",2.0,8556: SG X12CrNi 25 20,1.4842,,AW,175.0,,60.0,14343-A: G 25 20 Mn,310,,"Solid drawn ,corrosion-resistant, chromium-nickel wire for welding heat-resistant austenitic steels of the 25% Cr, 20% Ni types. 310 has good general oxidation resistance, especially at high temperatures, due to its high Cr content. The alloy is fully austenitic and is therefore sensitive to hot cracking. The temperature limits for use under intermittent oxidation depend on cycle frequency. In no case shall a temperature of 1000°C be exceeded. This alloy can withstand relatively severe thermic shock, and is superior to type 309 L.",,590.0,3.0,"Heat resistant stainless steels: 1.4823, 1.4826, 1.4828, 1.4832, 1.4835, 1.4840, 1.4841, 1.4846, 1.4848, 1.4837, 1.4710, 1.4713, 1.4724, 1.4726, 1.4742, 1.4745, 1.4762, 1.4845, 1.4849, 253MA,X15CrNiSi 25 20, G-X40CrNiSi 25 12, G-X15CrNi 25 20",0.3,1.8,,0.5,0.1,26.0,0.3,21.0,,,,,,,,,,,,,,,,,,,
27,42.0,A 5.9: ER 310LMo,The weld deposit has excellent low temperature toughness that makes it suitable for joining stainless steels for cryogenic service,2.0,,1.4466,170,AW,120.0,,100.0,14343-A: 25 22 2 N L,310 LMo Tig,,"310 LMo has been developed primarly to cope with the severe corrosion conditions existing in the urea industry. Therefore, this filler has excellent resistance to corrosion in ammonium carbamate and nitric acid",,580.0,335.0,"Heat resistant stainless steels, UNS S31050, 1.4466, UNS S31603, 1.4435",,22.0,,25.0,4.5,,,,2.1,0.13,,,,,,,,,,,,,,,,,
28,35.0,A 5.4: E 310 Mo-16,"Ceweld 310Mo electrodes are primarily intended for welding the clad side of 316, 316L and 317 clad steels as well as other grades of molybdenum bearing stainless steels. Ceweld 310Mo electrodes are used for the resurfacing of digesters in the paper industry",3.0,8556: E 25 22 2 NLB,1.4466,210,AW,70.0,,,3581-A: E 25 20 3 R 12,310 Mo,,Ceweld 310Mo is a rutile basic electrode similar to Ceweld 4842 Ti but with molybdenum added for improved high temperature creep properties. The weld deposit is fully austenitic and corrosion resistant.,300ºC/2hr,540.0,380.0,"1.4832, 1.4837, 1.4841, 1.4845, 1.4846, 1.4849, 1.4848, 1.4828, 1.4713, 1.4726, 1.4710, 1.4745, 1.4823 heat resisting stainless steel.",,1.75,,0.5,0.1,23.0,2.5,20.0,,,,,,,,,,,,,,,,,,,
29,45.0,A 5.9: ER 310,"Common applications include industrial furnaces, annealing chambers, fused salt treatment installations and boiler parts, as well as heat exchangers.",2.0,8556: SG X12CrNi 25 20,1.4842,,AW,175.0,,60.0,14343-A: W 25 20 Mn,310 Tig,,"Solid drawn ,corrosion-resistant, chromium-nickel wire for welding heat-resistant austenitic steels of the 25% Cr, 20% Ni types. 310 has good general oxidation resistance, especially at high temperatures, due to its high Cr content. The alloy is fully austenitic and is therefore sensitive to hot cracking. The temperature limits for use under intermittent oxidation depend on cycle frequency. In no case shall a temperature of 1000°C be exceeded. This alloy can withstand relatively severe thermic shock, and is superior to type 309 L.",,590.0,3.0,"Heat resistant stainless steels: 1.4823, 1.4826, 1.4828, 1.4832, 1.4835, 1.4840, 1.4841, 1.4846, 1.4848, 1.4837, 1.4710, 1.4713, 1.4724, 1.4726, 1.4742, 1.4745, 1.4762, 1.4845, 1.4849, 253MAX15CrNiSi 25 20, G-X40CrNiSi 25 12, G-X15CrNi 25 20",0.3,1.8,,0.5,0.1,26.0,0.3,21.0,,,,,,,,,,,,,,,,,,,
30,,A 5.9: ER 310L,"Common applications include heavily oxidizing media such as pipes in preheaters, coolers and condensers in the chemical industry.",2.0,,1.4842,,AW,,,,14343-A: W 25 20 L,310L,,"310L has very good resistance to intergranular corrosion, pitting and stress corrosion cracking due to its high chromium and nickel contents.",,,,Heat resistant stainless steels,,24.0,,1.6,0.2,,,,20.0,,,,,,,,,,,,,,,,,,
