,A5,AWS,Ag,Al,Applications,As,B,Be,C,Category,Co,Cr,Cu,DIN,DIN_W,Diffusible Hydrogen,Fe,HT_Temp,HT_Time,Hardness,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,Mn,Mn + Ni + Cr + Mo + V,Mo,N,Name,Nb,Nb+Ta,Ni,Ni+Co,Ni+Mn,Other,Others,P,P S,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,S,S Ni,SN,Si,Si P,Sn,Suitable_For,Ti,V,W,Zn,Zr,conformances,ind,url
107,,,,,"conformances
aws-a5.5/a5.5m:-2006-e8018-c3-h4r
asme-sfa-a5.5:-e8018-c3-h4r
abs:-e8018-c3-h4r
cwb/csa-w48-06:-e5518-c3
en-iso-2560-b:-e5518-n2-a-u-h5",,,,0.05500000000000001,,,0.05,,,,1.5,,,,,,,,,,,,0.825,,0.17,,,,,0.9500000000000001,,,,,,,,,,,,,,,0.34500000000000003,,,"typical-applications
(cid:23)(cid:3)shipbuilding-(cid:23)(cid:3)weathering-steels
(cid:23)(cid:3)piping-and-gas-(cid:23)(cid:3)cross-country-
storage-tanks-pipe-repair",,,,,,"diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-op
in-(mm)-in-(mm)-30-lb-(13.6-kg)-master
s-e8018-c3-h4r-•-low-alloy,-low-hydrogen",59,
108,,,,,"conformances
aws-a5.5/a5.5m:-2006-e9018-b3-h4r
asme-sfa-a5.5:-e9018-b3-h4r
cwb/csa-w48-06:-e6218-b3
welding-positions
all,-except-vertical-down",,,,0.08499999999999999,,,2.25,,,,4.0,,,,,,,,,,,,0.9,,1.05,,,,,,,,,,0.03,,,,,,,0.03,,,0.8,,,"typical-applications
(cid:23)(cid:3)2.25%-chromium,-(cid:23)(cid:3)petrochemical
1%-molybdenum-steels
(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)power-generation
(cid:23)(cid:3)process-piping",,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e9018-b3-h4r-•-low-alloy,-low-hydrogen",60,
109,,,,,"conformances
aws-a5.5/a5.5m:-2006-e9018-b3-h4r
asme-sfa-a5.5:-e9018-b3-h4r
cwb/csa-w48-06:-e6218-b3
welding-positions
all,-except-vertical-down",,,,0.07500000000000001,,,2.335,,,,3.0,,,,,,,,,,,,0.72,,1.08,,,,,,,,,,,,,,,,,,,,0.44,,,"typical-applications
(cid:23)(cid:3)2.25%-chromium,-(cid:23)(cid:3)petrochemical
1%-molybdenum-steels
(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)power-generation
(cid:23)(cid:3)process-piping",,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e9018-b3-h4r-•-low-alloy,-low-hydrogen",60,
11,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can-10-lb
1-h4r",,,,0.05,,,,,,,3.0,,,,,,,,,,,,0.675,,0.55,,,,,,,,,,,,,,,,,,,,,0.30333333333333334,,"(cid:23)(cid:3)designed-for-welding-0.50%-molybdenum-steel
(cid:23)(cid:3)premium-arc-performance
(cid:23)(cid:3)square-coating-burn-off
(cid:23)(cid:3)easy-strike,-re-strike-and-slag-removal
(cid:23)(cid:3)capable-of-exceeding-aws-mum-
requirement-of-490-mpa-(70-ksi)-tensile-
strength-after-8-hours-of-stress-relieving-
at-620°c-(1150°f)",,,,,,"typical-applications
(cid:23)(cid:3)fabrication-and-maintenance-welding
(cid:23)(cid:3)pressure-vessels-and-pressure-piping",5,
110,,,,,"(cid:23)(cid:3)high-strength-steel,-such-as-hy-80,-hy-90-and-astm-
a514
(cid:23)(cid:3)cross-country-pipe-repair
(cid:23)(cid:3)dc-welding",,,,0.1,,,0.15,,,,4.0,,,,,,,,,,,,0.925,,0.35,,,,,1.6,,,,,,0.03,,,,,,,,,0.8,,,"(cid:23)(cid:3)designed-to-produce-weld-deposits-with-
620-mpa-(90-ksi)-tensile-strength-
(cid:23)(cid:3)premium-arc-performance-
(cid:23)(cid:3)square-coating-burn-off-
(cid:23)(cid:3)easy-strike-and-re-strike-
(cid:23)(cid:3)effortless-slag-removal
welding-positions
all,-except-vertical-down
h4r",,,,,,"aws-a5.5/a5.5m:-2006-e9018m-h4r
asme-sfa-a5.5:-e9018m-h4r
abs:-e9018m-h4r
cwb/csa-w48-06:-e6218-m-h4r-(9018m-h4r)",61,
111,,,,,"(cid:23)(cid:3)high-strength-steel,-such-as-hy-80,-hy-90-and-astm-
a514
(cid:23)(cid:3)cross-country-pipe-repair
(cid:23)(cid:3)dc-welding",,,,0.05500000000000001,,,0.08499999999999999,,,,2.0,,,,,,,,,,,,1.0,,0.3,,,,,1.65,,,,,,0.013333333333333334,,,,,,,,,0.4,,,"(cid:23)(cid:3)designed-to-produce-weld-deposits-with-
620-mpa-(90-ksi)-tensile-strength-
(cid:23)(cid:3)premium-arc-performance-
(cid:23)(cid:3)square-coating-burn-off-
(cid:23)(cid:3)easy-strike-and-re-strike-
(cid:23)(cid:3)effortless-slag-removal
welding-positions
all,-except-vertical-down
h4r",,,,,,"aws-a5.5/a5.5m:-2006-e9018m-h4r
asme-sfa-a5.5:-e9018m-h4r
abs:-e9018m-h4r
cwb/csa-w48-06:-e6218-m-h4r-(9018m-h4r)",61,
112,,,,,"(cid:23)(cid:3)cross-country-and-in-plant-pipe-welding
(cid:23)(cid:3)root-pass-on-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-on-up-to-x60-grade-pipe",,,,0.2,,,0.2,,,,,,,,,,,,,,,,1.2,,0.3,,,,,0.3,,,,,,,,,,,,,,,1.0,,,"(cid:23)(cid:3)high-operator-appeal-and-control
(cid:23)(cid:3)easy-slag-removal
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online
(cid:23)(cid:3)standard-in-the-pipe-welding-industry",,0.08,,,,"diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-open-ca",62,
113,,,,,"(cid:23)(cid:3)cross-country-and-in-plant-pipe-welding
(cid:23)(cid:3)root-pass-on-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-on-up-to-x60-grade-pipe",,,,0.155,,,0.025,,,,,,,,,,,,,,,,0.64,,0.015,,,,,0.025,,,,,0.011,,,,,,,,,,0.235,,,"(cid:23)(cid:3)high-operator-appeal-and-control
(cid:23)(cid:3)easy-slag-removal
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online
(cid:23)(cid:3)standard-in-the-pipe-welding-industry",,,,,,"diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-open-ca",62,
114,,,,,"conformances
aws-a5.5/a5.5m:-2006-e7010-p1
asme-sfa-a5.5:-e7010-p1
abs:-e7010-p1",,,,0.2,,,0.3,,,,,,,,,,,,,,,,1.2,,0.5,,,,,1.0,,,,,0.03,,,,,,,,,,0.6,,,"typical-applications
(cid:23)(cid:3)root-pass-welding-of-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-of-up-to-x65-grade-pipe
(cid:23)(cid:3)vertical-down-welding",,0.1,,,,diameters-/-packaging,63,
115,,,,,"conformances
aws-a5.5/a5.5m:-2006-e7010-p1
asme-sfa-a5.5:-e7010-p1
abs:-e7010-p1",,,,0.14500000000000002,,,0.035,,,,,,,,,,,,,,,,0.635,,0.125,,,,,0.74,,,,,0.015,,,,,,,,,,0.185,,,"typical-applications
(cid:23)(cid:3)root-pass-welding-of-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-of-up-to-x65-grade-pipe
(cid:23)(cid:3)vertical-down-welding",,,,,,diameters-/-packaging,63,
116,,,,,diameters-/-packaging,,,,0.2,,,0.3,,,,,,,,,,,,,,,,1.2,,0.5,,,,,1.0,,,,,0.03,,,,,,,,,,0.6,,,"(cid:23)(cid:3)high-productivity-in-vertical-down-and-
out-of-position-pipe-welding-
(cid:23)(cid:3)deep-penetration-
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online-
(cid:23)(cid:3)clean,-visible-weld-puddle-
(cid:23)(cid:3)superior-puddle-control
welding-positions
all",,0.1,,,,"typical-applications
(cid:23)(cid:3)root-pass-welding-of-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-of-up-to-x70-grade-pipe",64,
117,,,,,diameters-/-packaging,,,,0.14500000000000002,,,0.035,,,,,,,,,,,,,,,,0.765,,0.175,,,,,0.865,,,,,0.015,,,,,,,,,,0.17,,,"(cid:23)(cid:3)high-productivity-in-vertical-down-and-
out-of-position-pipe-welding-
(cid:23)(cid:3)deep-penetration-
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online-
(cid:23)(cid:3)clean,-visible-weld-puddle-
(cid:23)(cid:3)superior-puddle-control
welding-positions
all",,0.01,,,,"typical-applications
(cid:23)(cid:3)root-pass-welding-of-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-of-up-to-x70-grade-pipe",64,
118,,,,,"conformances
aws-a5.5/a5.5m:-e8010‐p1,-e8010‐g
asme-sfa‐a5.5:-e8010‐p1,-e8010‐g
csa/cwb-w48-06:-e5510-p1,-e5510-g",,,,0.2,,,0.3,,,,,,,,,,,,,,,,1.2,,0.5,,,,,1.0,,,,,0.3,,,,,,,0.03,,,0.6,,,"•-excellent-impact-properties-without-the-intentional-
addition-of-boron
•-high-productivity-in-vertical-down-and-out‐of‐position-
pipe-welding
•-deep-penetration
•-q2-lot®-control-and-tested-–-certificate-showing-
actual-deposit-chemistry-per-lot-available-online.
•-clean,-visible-weld-puddle
•-superior-puddle-control",,,,,,"typical-applications-------------
•-root-pass-welding-of-up-to-x80-grade-pipe
•-hot,-fill-and-cap-pass-welding-on-up-to-x70-
grade-pipe
welding-positions------------
all",65,
119,,,,,"conformances
aws-a5.5/a5.5m:-e8010‐p1,-e8010‐g
asme-sfa‐a5.5:-e8010‐p1,-e8010‐g
csa/cwb-w48-06:-e5510-p1,-e5510-g",,,,0.14500000000000002,,,0.035,,,,,,,,,,,,,,,,0.765,,0.175,,,,,0.865,,,,,0.015,,,,,,,0.015,,,0.17,,,"•-excellent-impact-properties-without-the-intentional-
addition-of-boron
•-high-productivity-in-vertical-down-and-out‐of‐position-
pipe-welding
•-deep-penetration
•-q2-lot®-control-and-tested-–-certificate-showing-
actual-deposit-chemistry-per-lot-available-online.
•-clean,-visible-weld-puddle
•-superior-puddle-control",,,,,,"typical-applications-------------
•-root-pass-welding-of-up-to-x80-grade-pipe
•-hot,-fill-and-cap-pass-welding-on-up-to-x70-
grade-pipe
welding-positions------------
all",65,
12,,,,,"conformances
aws-a5.5/a5.5m:-2006-e8018-b2-h4r
asme-sfa-a5.5:-e8018-b2-h4r
cwb/csa-w48-06:-e5518-b2
welding-positions
all,-except-vertical-down",,,,0.08499999999999999,,,1.25,,,,4.0,,,,,,,,,,,,0.9,,0.525,,,,,,,,,,0.03,,,,,,,0.03,,,0.8,,,"typical-applications
(cid:23)(cid:3)power-generation-(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)petrochemical-(cid:23)(cid:3)process-piping",,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e8018-b2-h4r-•-low-alloy,-low-hydrogen",6,
120,,,,,"conformances
aws-a5.1:-e7016-1-h4
asme-sfa-a5.1:-e7016-1-h4",,,,0.15,,,0.3,,,,,,,,,,,,,,,,1.6,,0.08,,,,,,,,,,0.035,,,,,,,0.035,,,0.75,,,"•-hot,-fill-and-cap-pass-welding-up-to-x60
•-low-hydrogen,-vertical-up-capability-on-x60-grade-pipe-
•-q2-lot®-certificates-showing-actual-deposit-chemistry-
and-mechanical-properties-available-online
•-dc-(dcen)-is-the-recommended-polarity-for-root-pass-
welding-on-pipe",,1.75,,,,"typical-applications
•-root-pass-welding-of-up-to-x100-grade-pipe
welding-positions
all",66,
121,,,,,"conformances
aws-a5.1:-e7016-1-h4
asme-sfa-a5.1:-e7016-1-h4",,,,0.06,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,0.0125,,,,,,,0.008,,,0.53,,,"•-hot,-fill-and-cap-pass-welding-up-to-x60
•-low-hydrogen,-vertical-up-capability-on-x60-grade-pipe-
•-q2-lot®-certificates-showing-actual-deposit-chemistry-
and-mechanical-properties-available-online
•-dc-(dcen)-is-the-recommended-polarity-for-root-pass-
welding-on-pipe",,,,,,"typical-applications
•-root-pass-welding-of-up-to-x100-grade-pipe
welding-positions
all",66,
122,,,,,(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x70-grade-pipe,,,,,,,0.3,0.2,,,4.0,,,,,,,,,,,,1.0,,0.2,,,,,,,,,,0.03,,,,,,,,0.265,,0.8,,,"(cid:23)(cid:3)low-hydrogen,-vertical-up-capability-on-
x70-grade-pipe-
(cid:23)(cid:3)charpy-v-notch-impact-toughness-tested-
to-46°c-(-50°f)
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online",,0.1,,,,"diameters-/-packaging
diameter-length-1
018-g-h4",67,
123,,,,,(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x70-grade-pipe,,,,0.05,,,0.05,0.02,,,2.5,,,,,,,,,,,,1.35,,0.28,,,,,,,,,,0.015,,,,,,,,0.54,,0.51,,,"(cid:23)(cid:3)low-hydrogen,-vertical-up-capability-on-
x70-grade-pipe-
(cid:23)(cid:3)charpy-v-notch-impact-toughness-tested-
to-46°c-(-50°f)
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online",,0.01,,,,"diameters-/-packaging
diameter-length-1
018-g-h4",67,
124,,,,,"(cid:23)(cid:3)cross-country-and-in-plant-pipe-welding
(cid:23)(cid:3)root-pass-on-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-on-up-to-x60-grade-pipe",,,,0.2,,,0.2,,,,,,,,,,,,,,,,1.2,,0.3,,,,,0.3,,,,,,,,,,,,,,,1.0,,,"(cid:23)(cid:3)high-operator-appeal-and-control
(cid:23)(cid:3)easy-slag-removal
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online
(cid:23)(cid:3)standard-in-the-pipe-welding-industry",,0.08,,,,"diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-open-ca",68,
125,,,,,"(cid:23)(cid:3)cross-country-and-in-plant-pipe-welding
(cid:23)(cid:3)root-pass-on-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-on-up-to-x60-grade-pipe",,,,0.155,,,0.025,,,,,,,,,,,,,,,,0.64,,0.015,,,,,0.025,,,,,0.011,,,,,,,,,,0.235,,,"(cid:23)(cid:3)high-operator-appeal-and-control
(cid:23)(cid:3)easy-slag-removal
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online
(cid:23)(cid:3)standard-in-the-pipe-welding-industry",,,,,,"diameters-/-packaging
diameter-length-10-lb-(4.5-kg)-easy-open-ca",68,
126,,,,,"conformances
aws-a5.5/a5.5m:-2006-e10018-g-h4r
asme-sfa-a5.5:-e10018-g-h4r
welding-positions
all,-except-vertical-down",,,,,,,0.3,0.2,,,4.0,,,,,,,,,,,,1.0,,0.2,,,,,,,,,,0.03,,,,,,,,0.265,,0.8,,,"typical-applications
(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x80-grade-pipe",,0.1,,,,"diameters-/-packaging
diameter-length
mm-(in)-in-(mm)
018-g-h4r-•-low-alloy,-low-hydrogen,-pipe",69,
127,,,,,"conformances
aws-a5.5/a5.5m:-2006-e10018-g-h4r
asme-sfa-a5.5:-e10018-g-h4r
welding-positions
all,-except-vertical-down",,,,0.04,,,0.045000000000000005,0.04,,,2.5,,,,,,,,,,,,1.6099999999999999,,0.42,,,,,,,,,,0.015,,,,,,,,1.43,,0.45499999999999996,,,"typical-applications
(cid:23)(cid:3)fill-and-cap-pass-welding-of-up-to-x80-grade-pipe",,0.015,,,,"diameters-/-packaging
diameter-length
mm-(in)-in-(mm)
018-g-h4r-•-low-alloy,-low-hydrogen,-pipe",69,
128,,,,,nan,,,,0.12,,,0.2,,,,,,,,,,,,,,,,1.3,,0.5,,,,,1.0,,,,,0.03,,,,,,,,,,0.8,,,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",,0.05,,,,nan,70,
129,,,,,nan,,,,0.05,,,0.05,,,,,,,,,,,,,,,,1.175,,0.02,,,,,0.04,,,,,0.01,,,,,,,,,,0.425,,,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",,0.01,,,,nan,70,
13,,,,,"conformances
aws-a5.5/a5.5m:-2006-e8018-b2-h4r
asme-sfa-a5.5:-e8018-b2-h4r
cwb/csa-w48-06:-e5518-b2
welding-positions
all,-except-vertical-down",,,,0.095,,,1.175,,,,3.0,,,,,,,,,,,,0.7250000000000001,,0.5,,,,,,,,,,,,,,,,,,,,0.45,,,"typical-applications
(cid:23)(cid:3)power-generation-(cid:23)(cid:3)pressure-vessels
(cid:23)(cid:3)petrochemical-(cid:23)(cid:3)process-piping",,,,,,"diameters-/-packaging
diameter-length-8-lb-(3.6-kg)-easy-open-can
s-e8018-b2-h4r-•-low-alloy,-low-hydrogen",6,
130,,,,,nan,,,,0.12,,,0.2,,,,,,,,,,,,,,,,1.3,,0.5,,,,,1.0,,,,,0.03,,,,,,,,,,0.8,,,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",,0.05,,,,nan,71,
131,,,,,nan,,,,0.05,,,0.05,,,,,,,,,,,,,,,,1.175,,0.02,,,,,0.04,,,,,0.01,,,,,,,,,,0.425,,,"hydrogen-vertical-down-smaw-electr
cross-country-pipe-welding-electrodes-des
repeatable-mechanical-properties-with-low
performance-perfected
welders-prefer-pipeliner-lh-d
•-easy-to-use-with-controllable-slag
•-easy-transition-for-welders-experienced-
with-cellulosic-electrodes
•-touch-start-tapered-tip-elites-
starting-porosity-and-arc-strikes-on-pipe-
rode-designed-for-welding-high-strength-pipe
signed-for-vertical-down-progression-producing-
west-diffusible-hydrogen-levels.
50
pipeliner-lh-d-has-
n-30%-less-breakage-
e
k
o-when-compared-to-
r
b-böhler-fox-bvd
s-25
e
d
og
rn
electtesti
f-r-
oe
-t",,0.01,,,,nan,71,
